Employee ID,Name,Department,Role,Official Email,Phone Number,Aadhaar Number,Residential Address,Personal Email ID,PAN Number,Address,Email,Phone,Next_of_kin_name,Next_of_kin_relation,Next_of_kin_phone,Next_of_kin_email,Edge_Case,Latitude,Longitude,Country
QIN1029,Robert Garcia,Engineering,Coordinator,meera.malhotra@qualcomm.in,-8910479028,7090-2065-9438,"908, Phase 14, Noida",meera.malhotra@gmail.com,XSQYU1300K,"Bungalow No. 109, Hauz Khas Enclave, New Delhi",,,Gregory Gonzales,Kid,917870000000,gregory@gonzales.com,,28.54959829,77.20159066,India
QIN1059,Robert Hamilton,IT,Analyst,arjun.verma@qualcomm.in,-7364045066,9325-7177-8262,"445, Sector 13, Noida",arjun.verma@outlook.com,NEOVI4905S,"Apartment 113, Sushant Lok Phase 230, Gurgaon, Haryana",,,David Torres,Brother,916706000000,david@torres.com,,28.45420518,77.08415447,India
QIN1015,Ryan Hall,Engineering,Coordinator,rina.verma@qualcomm.in,-7544508976,7938-5530-3204,"610, Phase 2, Noida",rina.verma@gmail.com,YCNTX5531M,"Plot 444, Gachibowli Main Road, Hyderabad, Telangana",,,Ross Dawson,Father,916409000000,ross@dawson.com,,17.47831349,78.32024466,India
QIN1084,Samantha Walker,Compliance,Coordinator,neha.kumar@qualcomm.in,-8409418197,9446-1133-4439,"972, Sector 6, Chennai",neha.kumar@gmail.com,OZQOU9439Y,"House No. 374, HSR Layout Sector 236, Bangalore, Karnataka",,,Amanda Shannon,Mother,918591000000,amanda@shannon.com,,12.91345,77.64042,India
QIN1054,Sheri Anderson,IT,Executive,amit.reddy@qualcomm.in,-7041506527,1024-1844-4850,"991, Phase 4, Pune",amit.reddy@outlook.com,UNVSZ5879K,"Apartment 460, Sushant Lok Phase 299, Gurgaon, Haryana",,,Kristin Hudson,Kid,917526000000,kristin@hudson.com,,28.4236558,77.08469991,India
QIN1010,Stephen Arnold,Admin,Coordinator,kiran.sharma@qualcomm.in,-9736978028,6191-8005-3302,"317, Sector 5, Bangalore",kiran.sharma@gmail.com,BJNGZ6872C,"Plot 382, Gachibowli Main Road, Hyderabad, Telangana",,,Hunter Francis,Father,916874000000,hunter@francis.com,,17.47831349,78.32024466,India
QIN1092,Stephen Booker,Compliance,Executive,arjun.nair@qualcomm.in,-8408099233,6348-2330-2651,"404, Phase 4, Noida",arjun.nair@outlook.com,ZAIJG5487Y,"Apartment 1402, Salarpuria Greenage Birch Block, Hosur Road, Bangalore, Karnataka",,,Sean Garcia,Spouse,917424000000,sean@garcia.com,,12.90159882,77.62950064,India
QIN1065,Steven Hernandez,Project Management,Analyst,suresh.reddy@qualcomm.in,-8000868447,2841-2181-4802,"543, Sector 19, Noida",suresh.reddy@yahoo.com,ZVGKD7523E,"Plot 84, Gachibowli Main Road, Hyderabad, Telangana",,,Kristin Green,Kid,916865000000,kristin@green.com,,17.47831349,78.32024466,India
QIN1090,Thomas Dean,Project Management,Analyst,kiran.chowdhury@qualcomm.in,-9554966774,7091-5853-7199,"415, Sector 11, Bangalore",kiran.chowdhury@gmail.com,UCOYJ7920H,"Apartment 3C, Vipul Greens, Sohna Road, Gurgaon, Haryana",,,Sarah Thomas,Spouse,917861000000,sarah@thomas.com,,28.41650109,77.03890127,India
QIN1018,Thomas Tran,Compliance,Engineer,meera.iyer@qualcomm.in,-9467979071,7963-1414-3050,"263, Phase 11, Bangalore",meera.iyer@gmail.com,IKYNV3893R,"House No. 41, Sector 283, Gurgaon, Haryana",,,Gabriella Hartman,Mother,916493000000,gabriella@hartman.com,,28.47759164,77.08436846,India
QIN1070,Timothy Dawson,Project Management,Executive,meera.chowdhury@qualcomm.in,-9749944821,5217-1191-8039,"738, Sector 18, Hyderabad",meera.chowdhury@outlook.com,WIEKP7260O,"Plot 182, Greater Kailash II, New Delhi",,,Charles Hernandez,Kid,919661000000,charles@hernandez.com,,28.53720479,77.24046757,India
QIN1050,Tracy Daniel,Procurement,Engineer,neha.malhotra@qualcomm.in,-8356149314,3511-4636-8135,"586, Sector 17, Bangalore",neha.malhotra@outlook.com,DXNNU5039V,"Apartment 4C, Vipul Greens, Sohna Road, Gurgaon, Haryana",,,Diane Henderson,Sister,916168000000,diane@henderson.com,,28.41650109,77.03890127,India
QIN1035,Tracy Guzman,Procurement,Manager,suresh.chowdhury@qualcomm.in,-8383528527,4295-9181-3917,"760, Phase 7, Chennai",suresh.chowdhury@gmail.com,MGAKO4523N,"Villa 303, RMV Extension, Bangalore, Karnataka",,,Amber Hunt,Sister,916937000000,amber@hunt.com,,13.04388562,77.57809885,India
QIN1096,Troy Jimenez,Engineering,Analyst,priya.verma@qualcomm.in,-9914040420,8698-4632-3316,"455, Phase 10, Bangalore",priya.verma@gmail.com,YLMWE1182V,"Flat 322, Botanical Garden Road, Kondapur, Hyderabad, Telangana",,,Joel Coleman,Father,919815000000,joel@coleman.com,,17.46215316,78.35240393,India
QIN1024,Vickie Brown,Compliance,Coordinator,ravi.joshi@qualcomm.in,-8377170642,6753-3446-4373,"999, Phase 15, Pune",ravi.joshi@yahoo.com,BMBKW8997P,"Apartment 202, Salarpuria Greenage Oak A Block, Hosur Road, Bangalore, Karnataka",,,Kenneth Gomez,Kid,918956000000,kenneth@gomez.com,,12.90021836,77.6287067,India
QIN1022,Wendy Johnson,Engineering,Manager,arjun.reddy@qualcomm.in,-7463048165,3065-8257-9437,"866, Phase 15, Hyderabad",arjun.reddy@gmail.com,TMJYZ6822A,"Apartment 402, Salarpuria Greenage Alpine Block, Hosur Road, Bangalore, Karnataka",,,Allison Villanueva,Kid,916352000000,allison@villanueva.com,,12.90204851,77.62985469,India
QIN1034,Willie Vincent,Compliance,Executive,amit.kumar@qualcomm.in,-8472470096,3385-8271-7814,"111, Sector 17, Bangalore",amit.kumar@outlook.com,QYCDN5128C,"No. 58, 1st Cross, Indiranagar, Bangalore, Karnataka",,,Robert Reyes,Brother,919802000000,robert@reyes.com,,12.97371057,77.65258243,India
